44 4
1	1	1	0	0
2	1	1	0	0
3	1	1	0	0
4	1	1	0	0
5	1	1	0	0
6	1	1	0	1
7	1	1	0	0
8	1	1	0	1
9	1	1	1	0
10	1	1	1	1
11	1	1	1	1
12	1	1	1	1
13	1	1	1	0
14	1	1	0	1
15	1	1	0	0
16	1	1	0	1
17	1	1	1	0
18	1	1	0	1
19	1	1	1	0
20	1	1	1	1
21	1	1	1	1
22	1	1	1	1
23	1	0	0	0
24	1	0	0	0
25	1	0	0	0
26	1	0	0	0
27	0	1	0	0
28	0	1	0	0
29	0	1	0	0
30	1	1	1	1
31	1	0	0	0
32	1	0	0	0
33	1	0	0	0
34	1	0	0	0
35	1	0	0	0
36	0	0	0	1
37	1	1	1	1
38	1	0	0	0
39	1	0	0	0
40	1	1	0	0
41	1	1	0	0
42	1	1	1	0
43	1	1	1	1
44	1	1	1	1
