66
1019732;1;0;712;
1020074;1;737;1313;
1019818;1;1338;1770;
1019718;1;1785;2217;
1019718;1;2217;2601;
1019733;1;2616;2952;
1019828;1;2977;3265;
1019828;1;3265;3553;
1019818;1;3578;3866;
1019852;1;3891;4143;
1019852;1;4143;4395;
1019852;1;4395;4647;
1019828;1;4667;4907;
1019856;1;4917;5109;
1019819;1;5134;5314;
1020070;1;5339;5483;
1020074;1;5498;5642;
1020075;1;5642;5786;
1019819;1;5811;5955;
1019794;1;5970;6114;
1019853;1;6139;6247;
1019863;1;6257;6365;
1020070;1;6390;6498;
1020481;1;6513;6621;
1019829;1;6646;6742;
1019829;1;6742;6838;
1019829;1;6838;6934;
1019866;1;6944;7040;
1019885;1;7060;7156;
1019885;1;7156;7252;
1019889;1;7267;7363;
1019889;1;7363;7459;
1019853;1;7479;7551;
1019862;1;7561;7633;
1020481;1;7658;7730;
1020055;1;7730;7802;
1020084;1;7827;7878;
1019856;1;7888;7936;
1019856;1;7936;7984;
1019856;1;7984;8032;
1019866;1;8042;8090;
1019866;1;8090;8138;
1019866;1;8138;8186;
1019867;1;8186;8234;
1019867;1;8234;8282;
1019885;1;8302;8350;
1019885;1;8350;8398;
1019885;1;8398;8446;
1019889;1;8461;8509;
1019889;1;8509;8557;
1019881;1;8572;8620;
1020085;1;8640;8688;
1019859;1;8698;8734;
1019859;1;8734;8770;
1019862;1;8780;8816;
1019862;1;8816;8852;
1019862;1;8852;8888;
1019863;1;8888;8924;
1020071;1;8949;8985;
1020071;1;8985;9021;
1020071;1;9021;9057;
1020053;1;9072;9108;
1020481;1;9108;9144;
1020055;1;9144;9180;
1020055;1;9180;9216;
1020115;1;9216;9222;
